task,dataset_variant,feature_set,model,outer_balanced_accuracy_mean,outer_balanced_accuracy_std,outer_accuracy_mean,outer_f1_mean,outer_recall_mean,outer_mcc_mean,outer_roc_auc_mean,outer_average_precision_mean,outer_threshold_mean,outer_threshold_std
RQ3 Large Movement,Strict,Full,RBF SVC,0.6267091666608575,0.09583773680490074,0.7355072463768115,0.4622840286557101,0.5637743898613464,0.2723540466835562,0.7378304928441454,0.5014108612869851,-0.12684343580266874,0.47672905282844913
RQ3 Large Movement,Relaxed,Full,RBF SVC,0.6033236891932544,0.09749740206120613,0.41914191419141905,0.445196049939883,0.9413848631239935,0.20456700911721057,0.7723690962821396,0.5013170499500329,-0.7104018189463258,0.05016654341926408
RQ3 Large Movement,Strict,Full,Extra Trees,0.6895165828982255,0.07749367791063733,0.6123188405797101,0.5146890146890147,0.8561703996486605,0.3154355320638825,0.7568909688800468,0.48702072003163427,0.4696859026222997,0.033850378467071666
RQ3 Large Movement,Strict,Reduced,Extra Trees,0.6812356135544541,0.06364824618950563,0.7355072463768115,0.5269820242497838,0.6533032185206098,0.3384386183374824,0.7481480228718204,0.484931580794239,0.5030988706144566,0.015979004755889554
RQ3 Large Movement,Relaxed,Full,Extra Trees,0.7343554794641752,0.0512954556845602,0.6996699669966997,0.5315608465608466,0.7982286634460548,0.3730476402266247,0.7684240678805896,0.48423090159804366,0.4539619615466572,0.08112728867593903
RQ3 Large Movement,Strict,Full,Logistic ElasticNet,0.6595829470225606,0.08331550872806602,0.6920289855072465,0.5075898471403014,0.6611769872639438,0.2959086284297628,0.7107496495041129,0.48146255568016655,0.5005737256487979,0.01434061171267601
RQ3 Large Movement,Strict,Reduced,RBF SVC,0.5902388969055635,0.07853146258377719,0.6992753623188405,0.30367585630743527,0.38023088023088025,0.15305315943573564,0.7053282457000164,0.472821340618967,0.122988846476789,0.46909862269234937
RQ3 Large Movement,Relaxed,Full,Logistic ElasticNet,0.6862225938312895,0.047704871418942585,0.7062706270627063,0.508619874748907,0.6908212560386473,0.3119221244889531,0.7351042274955318,0.4664142972497407,0.5217273324549891,0.04126969633535244
RQ3 Large Movement,Relaxed,Reduced,RBF SVC,0.6192168338907469,0.10838799164442144,0.47194719471947194,0.4423064368716543,0.8164251207729468,0.21555931340258214,0.7643941002636655,0.4642556307858306,-0.21235566469906594,0.5899860220277353
RQ3 Large Movement,Relaxed,Reduced,Logistic ElasticNet,0.6483410309497266,0.09538869400572648,0.6567656765676567,0.48370690892685025,0.7130434782608696,0.24055580687067,0.726875298614429,0.4622256060729331,0.3976398893093205,0.15682991076358424
RQ3 Large Movement,Strict,Reduced,Logistic ElasticNet,0.6147098777050468,0.11663351469617385,0.532608695652174,0.4700721667977536,0.7571993224167137,0.2125682450157065,0.6847825985927226,0.4563233817095422,0.4617847448302877,0.05403577123482571
RQ3 Large Movement,Relaxed,Reduced,Extra Trees,0.6446645343384474,0.062000556906365654,0.6930693069306931,0.46653926653926653,0.6423510466988728,0.26473780731278235,0.7658792093574701,0.4507202334855411,0.4988415206110987,0.01046595989409637
RQ3 Large Movement,Relaxed,Reduced,Histogram Gradient Boosting,0.6528961175700306,0.1058750731902908,0.7392739273927393,0.4672128669468211,0.5571658615136875,0.2791796105667308,0.7297820335863814,0.4317841011796588,0.3664515308922853,0.29809262083096316
RQ3 Large Movement,Relaxed,Full,Histogram Gradient Boosting,0.6809450814885598,0.05200024656458735,0.6171617161716171,0.47491337491337493,0.7985507246376812,0.28939459641643556,0.7252351312133921,0.4137810235100723,0.009457142832535688,0.010370783998475335
RQ3 Large Movement,Strict,Reduced,Histogram Gradient Boosting,0.6774073841706691,0.0346281633542165,0.6847826086956522,0.5105864133324087,0.6821005081874647,0.30588997790394523,0.7135762577718049,0.4129884400449484,0.2552853356223363,0.2752918253865272
RQ3 Large Movement,Strict,Full,Histogram Gradient Boosting,0.5973626302128717,0.07631048303154828,0.7137681159420289,0.4025775947532982,0.4318338666164753,0.20375113344288187,0.6972765714374619,0.39954837308974467,0.4518971054937971,0.3911353429319616
